UPRN,ESTAB_UPRN,ADDRESS_TYPE,ESTAB_TYPE,ADDRESS_LEVEL,ABP_CODE,ORGANISATION_NAME,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,TOWN_NAME,POSTCODE,LATITUDE,LONGITUDE,OA,LSOA,MSOA,LAD,REGION,HTC_WILLINGNESS,HTC_DIGITAL,TREATMENT_CODE,FIELDCOORDINATOR_ID,FIELDOFFICER_ID,CE_EXPECTED_CAPACITY,CE_SECURE,PRINT_BATCH
123456789141,87890533688,HH,Household,U,RD06,,Flat 2,Commercial Road,,Tafftown,XX1 0XX,51.4451742,-2.5975551,E00074236,E01033361,E02003050,E06000023,W12000000,3,3,HH_LF3R1W,,,95,0,58
123456789142,39079186196,HH,Household,U,RD04,,14 Blackhorse Road,39 Cranbrook Road,Tree area,Tafftown,XX11 0XX,51.4603426,-2.5122237,E00173063,E01015005,E02003117,E06000025,W12000000,4,2,HH_LF3R2W,,,100,0,58
123456789143,97222273204,HH,Household,U,RD06,,18 Marshfield Park Cleeve Wood Road,60 Coronation Road,,Tafftown,XX11 0XX,51.4958465,-2.513198,E00075275,E01014897,E02003111,E06000025,W12000000,5,1,HH_LF3R3AW,,,105,0,58
123456789144,17742220949,HH,Household,U,RD06,,Flat 2,39 Cranbrook Road,,Tafftown,XX1 0XX,51.4451742,-2.5975551,E00074236,E01033361,E02003050,E06000023,W12000000,1,5,HH_LF3R3BW,,,110,0,58
123456789145,84403708820,HH,Household,U,RD06,,Flat 56 Francombe House,60 Coronation Road,,Placester,XX1 0XX,51.4463421,-2.5924477,E00073438,E01014540,E02003043,E06000023,N12000000,1,5,HH_1LSFN,,,115,0,58
123456789146,87031598403,HH,Household,U,RD06,,First And Second Floor Flat,,,Placester,XX1 0XX,51.4721166,-2.5970579,E00074083,E01014669,E02003031,E06000023,N12000000,2,4,HH_2LEFN,,,120,0,58
123456789143,90450005914,HH,Household,U,RD06,,Flat 2,,,Windleybury,XX1 0XX,51.4451742,-2.5975551,E00074236,E01033361,E02003050,E06000023,E12000009,3,3,HH_QF2R1E,,,125,0,58
123456789144,35954544628,HH,Household,U,RD04,,14 Blackhorse Road,Commercial Road,,Windleybury,XX11 0XX,51.4603426,-2.5122237,E00173063,E01015005,E02003117,E06000025,E12000009,4,2,HH_QF2R2E,,,130,0,58
123456789145,24179467573,HH,Household,U,RD06,,18 Marshfield Park Cleeve Wood Road,39 Cranbrook Road,Phone area,Windleybury,XX11 0XX,51.4958465,-2.513198,E00075275,E01014897,E02003111,E06000025,E12000009,5,1,HH_QF2R3AE,,,135,0,58
123456789146,86607907587,HH,Household,U,RD06,,Flat 56 Francombe House,60 Coronation Road,,Windleybury,XX1 0XX,51.4463421,-2.5924477,E00073438,E01014540,E02003043,E06000023,E12000009,1,5,HH_QF3R1E,,,140,0,58
123456789147,24790129639,HH,Household,U,RD06,,First And Second Floor Flat,Commercial Road,,Windleybury,XX1 0XX,51.4721166,-2.5970579,E00074083,E01014669,E02003031,E06000023,E12000009,2,4,HH_QF3R2E,,,145,0,58
123456789148,87000537633,HH,Household,U,RD06,,Flat 2,39 Cranbrook Road,,Windleybury,XX1 0XX,51.4451742,-2.5975551,E00074236,E01033361,E02003050,E06000023,E12000009,3,3,HH_QF3R3AE,,,150,0,58
123456789149,14430139081,HH,Household,U,RD04,,14 Blackhorse Road,60 Coronation Road,,Tafftown,XX11 0XX,51.4603426,-2.5122237,E00173063,E01015005,E02003117,E06000025,W12000000,4,2,HH_QF2R1W,,,155,0,58
123456789150,32289559422,HH,Household,U,RD06,,18 Marshfield Park Cleeve Wood Road,Commercial Road,Trowl area,Tafftown,XX11 0XX,51.4958465,-2.513198,E00075275,E01014897,E02003111,E06000025,W12000000,5,1,HH_QF2R2W,,,160,0,58
123456789151,27723632530,HH,Household,U,RD06,,Flat 2,39 Cranbrook Road,,Tafftown,XX1 0XX,51.4451742,-2.5975551,E00074236,E01033361,E02003050,E06000023,W12000000,1,5,HH_QF2R3AW,,,165,0,58
123456789152,42776783742,HH,Household,U,RD06,,18 Marshfield Park Cleeve Wood Road,60 Coronation Road,,Tafftown,XX1 0XX,51.4451742,-2.5975551,E00074236,E01033361,E02003050,E06000023,W12000000,3,3,HH_QF3R1W,,,1234,0,58
123456789153,52198141874,HH,Household,U,RD06,,Flat 56 Francombe House,39 Cranbrook Road,Bin area,Tafftown,XX11 0XX,51.4603426,-2.5122237,E00173063,E01015005,E02003117,E06000025,W12000000,4,2,HH_QF3R2W,,,2153,0,58
123456789154,67792277395,HH,Household,U,RD04,,First And Second Floor Flat,60 Coronation Road,,Tafftown,XX11 0XX,51.4958465,-2.513198,E00075275,E01014897,E02003111,E06000025,W12000000,5,1,HH_QF3R3AW,,,4587,0,58
123456789155,37904648268,HH,Household,U,RD06,,Flat 2,39 Cranbrook Road,,Placester,XX1 0XX,51.4451742,-2.5975551,E00074236,E01033361,E02003050,E06000023,N12000000,1,5,HH_3QSFN,,,6547,0,58
